University_Name,IA ID,University_Type,IA_City,Former_Name,Name _Change _Date,Address,Establishment,Website_Link,Recognizing_Body,Date_of_Extration,UGC_Source_Link
Pragjyotishpur University,Not Found,(Private University),Guwahati,NA,NA,Hajongbari P.O- Chandrapur under Panbari Mouza Kamrup Metropolitan District Guwahati Assam- 781050,17.10.2022,NA,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Pragyan International University,Not Found,(Private University),Ranchi,NA,NA,Bariatu Road Booty More PO – RMCH Ranchi – 834009 Jharkhand,16.05.2016,http://www.pragyanuniversity.edu.in/,University Grants Commission (UGC),14/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Pratap University,Not Found,(Private University),Jaipur,NA,NA,Sunderpura (Chandwaji) Amer Delhi-Mumbai Highway Jaipur Rajasthan,15.09.2011,https://www.pratapuniversity.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Pravara Institute of Medical Sciences,305699,(Deemed University),Ahmednagar,NA,NA,Loni Tal – Rahata District Ahmednagar-413 736 Maharashtra.,29.09.2003,https://www.pravara.com/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Presidency University,Not Found,(State University),Kolkata,NA,NA,86/1 College Street Kolkata – 700 073 West Bengal,2010,https://www.presiuniv.ac.in/web/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Presidency University Dibbur & Ittagalpura Village,344218,(Private University),Bangalore,NA,NA,Hesaraghatta Hobli Bangalore Karnataka.,16.05.2013,https://presidencyuniversity.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Prof. Rajendra Singh (Rajju Bhaiya) University (Formerly Allahabad State University,Not Found,(State University),Prayagraj,Allahabad State University,NA,"Allahabad) CPI Parisar Civil Lines Prayagraj Uttar Pradesh.  
Name changed w.e.f. 07.03.2019     ",17.06.2016,https://prsuniv.ac.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Professor Jayashankar Telangana State Agricultural University (Formerly Archarya N.G Ranga Agricultural University),Not Found,(State University),Hyderabad,Archarya N.G Ranga Agricultural University,NA,Rajendranagar Hyderabad – 500030 Telangana.,02.06.2014,https://pjtsau.edu.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Pt. Bhagwat Dayal Sharma University of Health Sciences,305711,(State University),Rohtak,NA,NA,Rohtak Haryana,2008,https://www.uhsr.ac.in/,University Grants Commission (UGC),20/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Pt. Ravishankar Shukla University,305712,(State University),Raipur,NA,NA,Raipur-492 010 Chhattisgarh.,1964,http://www.prsu.ac.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
